id,FalseSent,TrueSent,ref1,ref2,ref3,OptionA,OptionB,OptionC,label
0,He poured orange juice on his cereal.,He poured milk on his cereal.,Orange juice doesn't taste good on cereal.,Orange juice is poured in a glass.,Orange juice does not taste good on cereal.,Orange juice is usually bright orange.,Orange juice doesn't taste good on cereal.,Orange juice is sticky if you spill it on the table.,1
1,He drinks apple.,He drinks milk.,Apple can not be drunk,An apple is a whole food and unable to be drunk without being juiced.,He eats an apple,Apple juice are very tasty and milk too,Apple can not be drunk,Apple cannot eat a human,1
2,"Jeff ran 100,000 miles today",Jeff ran a mile today,"100,000 miles is way to long for one person to be able to run in one day.",This is not physically possible to achieve,"No way can someone run 100,000 miles in a day","100,000 miles is way to long for one person to be able to run in one day.","Jeff is a four letter name and 100,000 has six numerical digest","100,000 miles is longer than 100,000 km.",0
3,I sting a mosquito,A mosquito stings me,A human has not stings,I do not have a stinger.,"mosquitos sting people, not the other way around",A human is a mammal,A human is omnivorous,A human has not stings,2
4,A giraffe is a person.,A niece is a person.,A giraffe is not a human being.,"A giraffe is an animal, not human.",A giraffe is an animal.,Giraffes can drink water from a lake.,A giraffe is not a human being.,.Giraffes usually eat leaves.,1
5,A normal closet is larger than a walk-in closet.,A walk-in closet is larger than a normal closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,A walk-in closet is larger than a normal closet.,A walk in closet is larger.,Walk-in closets are normal closets.,A person can sleep in a walk-in closet.,A person cannot walk into a normal closet because it is smaller than a walk-in closet.,2
6,I like to ride my chocolate,I like to ride my bike,"Chocolate is a food, not a transportation unit",You eat chocolate not ride it,cant ride chocolate,Chocolate is delicious and bikes are not,"Chocolate is a food, not a transportation unit",My bike can't ride a chocolate,1
7,A GIRL WON THE RACE WITH HORSE,A GIRL WON THE RACE WITH HER FRIEND,HORSE RAN FASTER THAN HER,A person is too slow to race a horse.,A horse is much faster than a person.,GIRL HAVE BEAUTIFUL HAIR BUT THE HORSE DOESN'T HAVE,THE GIRL WEAR DRESS BUT THE HORSE DOESN'T HAVE .,HORSE RAN FASTER THAN HER,2
8,he put elephant into the jug,he pour water in to the jug,a jug is so small than an elephant,An elephant won't fit into a jug - they are too big,The jug would break under the weight.,elephants is an animal and jug is a thing,a jug is so small than an elephant,jug is used for store things,1
9,A dog plays volleyball,A girl plays volleyball,Only humans play volleyball,Dogs don't typically play volleyball.,Only people can play volleyball.,Only humans play volleyball,Dogs are not wild animals,Humans trust dogs,0
